name,id1,birth_date,birth_city,birth_state,birth_country,bats,throws,height_in,weight_lbs,hall_of_fame,seasons_played,career_ops,career_g,career_ab,career_h,career_hr,career_rbi,career_bb,career_war,tie_lahman_id,tie_name,relation
Austin Romine,romia002,1988-11-22,Lake Forest,CA,USA,R,R,73,216,,11,0.701,485,1352,311,31,166,69,-2.82,romia001,Andrew Romine,Brother
Austin Romine,romia002,1988-11-22,Lake Forest,CA,USA,R,R,73,216,,11,0.701,485,1352,311,31,166,69,-2.82,romik001,Kevin Romine,Son
B. J. Surhoff,surhb001,1964-08-04,Bronx,NY,USA,L,R,73,185,,19,0.796,2313,8258,2326,188,1153,640,37.23,morab001,,Uncle
B. J. Surhoff,surhb001,1964-08-04,Bronx,NY,USA,L,R,73,185,,19,0.796,2313,8258,2326,188,1153,640,37.23,morac001,Colin Moran,Uncle
B. J. Surhoff,surhb001,1964-08-04,Bronx,NY,USA,L,R,73,185,,19,0.796,2313,8258,2326,188,1153,640,37.23,surhr001,,Brother
B. J. Upton,uptob001,1984-08-21,Norfolk,VA,USA,R,R,75,185,,12,0.782,1469,5175,1260,164,586,589,17.71,uptoj001,Justin Upton,Brother
Barbaro Garbey,garbb102,1956-12-04,Santiago de Cuba,Santiago de Cuba,Cuba,R,R,70,170,,3,0.679,226,626,167,11,86,36,0.12,garbm101,,Brother
Barry Bonds,bondb101,1964-07-24,Riverside,CA,USA,L,L,73,185,,22,1.051,2986,9847,2935,762,1996,2558,162.78,bondb001,Bobby Bonds,Father
Barry Larkin,larkb001,1964-04-28,Cincinnati,OH,USA,R,R,72,185,HOF,19,0.815,2180,7937,2340,198,960,939,70.53,larks001,Stephen Larkin,Brother
Beau Taylor,taylb108,1990-02-13,Rockledge,FL,USA,L,R,71,205,,3,0.536,25,51,6,2,4,7,-0.18,taylc104,Chris Taylor,Brother
Beau Taylor,taylb108,1990-02-13,Rockledge,FL,USA,L,R,71,205,,3,0.536,25,51,6,2,4,7,-0.18,taylj104,,Brother
Beau Taylor,taylb108,1990-02-13,Rockledge,FL,USA,L,R,71,205,,3,0.536,25,51,6,2,4,7,-0.18,taylj105,,Brother
Ben Gamel,gameb001,1992-05-17,Neptune Beach,FL,USA,L,L,71,180,,9,0.82,723,2046,516,41,204,243,1.32,gamem001,Mat Gamel,Brother
Ben Grieve,grieb001,1976-05-04,Arlington,TX,USA,L,R,76,200,,9,0.877,976,3215,864,118,492,466,7.8,griet101,Tom Grieve,Son
Bernardo Brito,britb801,1963-12-04,San Cristobal,San Cristóbal,D.R.,R,R,73,190,,3,0.703,40,73,16,5,12,1,-0.32,britz001,,Brother
Bernie Williams,willb801,1948-10-08,Alameda,CA,USA,R,R,73,175,,4,0.588,102,172,33,4,15,21,-0.68,willj107,Jim Williams,Son
Bert Campaneris,campb101,1942-03-09,Pueblo Nuevo,Matanzas,Cuba,R,R,70,160,,15,0.659,1828,6663,1722,61,508,501,46.65,cardj101,Jose Cardenal,Cousin
Bien Figueroa,figub001,1964-02-07,Santo Domingo,Distrito Nacional,D.R.,R,R,70,170,,1,0.523,12,11,2,0,4,1,-0.21,figuc001,Cole Figueroa,Father
Bill Davis,davib101,1942-06-06,Graceville,MN,USA,L,L,79,215,,1,0.481,31,57,10,0,1,8,-0.29,housa001,,Cousin
Bill Fahey,faheb001,1950-06-14,Detroit,MI,USA,L,R,72,200,,11,0.591,383,934,225,7,83,74,2.13,faheb101,Brandon Fahey,Son
